fetched_at,tweet_id,likes,retweets,replies,quotes,views,bookmarks
2026-05-29T13:16:47.538Z,2059577310144336045,1079,65,1,0,6591,665
2026-05-29T13:16:47.538Z,2059246534743793685,4,0,0,0,2161,0
2026-05-29T13:16:47.538Z,2059220726650225035,1198,75,1,1,11164,676
2026-05-29T13:16:47.538Z,2059050147796115888,223,18,0,1,4915,54
2026-05-29T13:16:47.538Z,2058759155725533656,134,18,1,1,3952,49
2026-05-29T13:16:47.538Z,2058335094050631706,1,0,0,0,2983,0
2026-05-29T13:16:47.538Z,2058324322348146881,264,37,0,0,6992,102
2026-05-29T13:16:47.538Z,2058154940493963590,2,0,0,0,3287,1
2026-05-29T13:16:47.538Z,2058154790266474800,151,18,0,0,5979,43
2026-05-29T13:16:47.538Z,2058104251436675191,95,19,1,0,5049,22
2026-05-29T13:16:47.538Z,2057982854324498740,2387,164,1,0,34129,1276
2026-05-29T13:16:47.538Z,2057982044345684059,184,28,1,0,5048,69
2026-05-29T13:16:47.538Z,2057982139896062278,5,0,0,0,2071,2
2026-05-29T13:16:47.538Z,2057978936546799965,101,15,0,0,3452,22
2026-05-29T13:16:47.538Z,2057960287165383160,5,0,0,0,1559,0
2026-05-29T13:16:47.538Z,2057765926251159929,416,62,0,0,10168,155
2026-05-29T13:16:47.538Z,2057633396567003402,4,0,1,0,1312,0
2026-05-29T13:16:47.538Z,2057415374631821610,187,20,0,0,4130,54
2026-05-29T13:16:47.538Z,2057337862568456358,62,6,0,0,2844,19
2026-05-29T13:16:47.538Z,2057336979143196892,231,30,0,0,6532,92
2026-05-29T13:16:47.538Z,2057336762717147187,234,41,0,0,5408,94
2026-05-29T13:16:47.538Z,2055991467517317147,242,29,0,0,6999,75
2026-05-29T13:16:47.538Z,2055910826717118743,129,11,0,0,4700,38
2026-05-29T13:16:47.538Z,2055774871851077938,119,15,1,0,4213,37
2026-05-29T13:16:47.538Z,2055517066090930208,182,16,1,0,5801,51
2026-05-29T13:16:47.538Z,2055382594825629895,43,6,1,0,3074,14
2026-05-29T13:16:47.538Z,2055382628069757239,20,4,0,0,2620,6
2026-05-29T13:16:47.538Z,2055382364155695184,238,25,0,0,5745,81
2026-05-29T13:16:47.538Z,2055208658431275311,168,28,0,0,5775,48
2026-05-29T13:16:47.538Z,2054860517702074623,173,27,0,0,5897,44
2026-05-29T13:16:47.538Z,2053401529340825615,327,37,1,0,10511,121
2026-05-29T13:16:47.538Z,2053298947528270329,109,20,1,0,7549,30
2026-05-29T13:16:47.538Z,2053298978796732827,104,16,1,0,6366,27
2026-05-29T13:16:47.538Z,2052985203187130501,352,49,3,1,10495,119
2026-05-29T13:16:47.538Z,2052892078393422094,178,33,1,0,6107,57
2026-05-29T13:16:47.538Z,2052891547482673459,140,15,0,0,4130,43
2026-05-29T13:16:47.538Z,2052709737817608468,167,26,0,0,7012,63
2026-05-29T13:16:47.538Z,2052561351189606844,35,2,0,0,2436,10
2026-05-29T13:16:47.538Z,2051921681158217973,75,16,1,0,2805,26
2026-05-29T13:16:47.538Z,2051891948571779084,381,47,0,0,11871,172
2026-05-29T13:16:47.538Z,2051891687979639180,203,19,0,1,6244,83
2026-05-29T13:16:47.538Z,2051891576495026454,309,45,0,0,10794,140
2026-05-29T13:16:47.538Z,2051891398081962050,94,16,0,0,4174,24
2026-05-29T13:16:47.538Z,2051802653563531621,57,8,0,0,2375,23
2026-05-29T13:16:47.538Z,2051802461946733052,113,13,0,0,3343,46
2026-05-29T13:16:47.538Z,2051802237970874517,91,16,0,0,3929,26
2026-05-29T13:16:47.538Z,2051800287552352299,94,11,1,0,4582,28
2026-05-29T13:16:47.538Z,2051800918220578893,35,5,0,0,2006,15
2026-05-29T13:16:47.538Z,2051800039060902302,52,7,0,0,2122,31
2026-05-29T13:16:47.538Z,2051799912665489734,21,3,0,0,1850,5
2026-05-29T13:16:47.538Z,2051799623396954184,204,27,2,0,4630,109
2026-05-29T13:16:47.538Z,2051623693907022276,169,26,1,0,4366,63
2026-05-29T13:16:47.538Z,2051623165823246384,397,68,2,0,12791,217
2026-05-29T13:16:47.538Z,2051615147287007577,134,22,0,0,4916,43
